taxid	name	rank	parent_taxid	sample	n_reads_direct	n_reads_clade
10239	Viruses	superkingdom	1	AP-DNA-10	0	1198
10239	Viruses	superkingdom	1	AP-DNA-11	0	460
10239	Viruses	superkingdom	1	AP-DNA-13	0	495
10239	Viruses	superkingdom	1	AP-DNA-14	0	91
10239	Viruses	superkingdom	1	AP-DNA-2	0	2390
10239	Viruses	superkingdom	1	AP-DNA-6	0	489
10239	Viruses	superkingdom	1	AP-DNA-7	0	491
10239	Viruses	superkingdom	1	AP-RNA-3	0	171
10239	Viruses	superkingdom	1	AP-RNA-5	0	120
10239	Viruses	superkingdom	1	AP-DNA-12	0	506
10239	Viruses	superkingdom	1	AP-DNA-4	0	456
10239	Viruses	superkingdom	1	AP-DNA-8	0	354
10239	Viruses	superkingdom	1	AP-DNA-9	0	844
10239	Viruses	superkingdom	1	AP-DNA-3	0	1182
10239	Viruses	superkingdom	1	AP-DNA-1	0	2531
10239	Viruses	superkingdom	1	AP-RNA-1	0	360
10239	Viruses	superkingdom	1	AP-DNA-15	0	17
10239	Viruses	superkingdom	1	AP-DNA-5	0	506
10239	Viruses	superkingdom	1	AP-RNA-10	0	166
10239	Viruses	superkingdom	1	AP-RNA-11	0	74
10239	Viruses	superkingdom	1	AP-RNA-12	0	275
10239	Viruses	superkingdom	1	AP-RNA-13	0	103
10239	Viruses	superkingdom	1	AP-RNA-14	0	18
10239	Viruses	superkingdom	1	AP-RNA-2	0	390
10239	Viruses	superkingdom	1	AP-RNA-4	0	218
10239	Viruses	superkingdom	1	AP-RNA-6	0	114
10239	Viruses	superkingdom	1	AP-RNA-7	0	99
10239	Viruses	superkingdom	1	AP-RNA-8	0	177
10239	Viruses	superkingdom	1	AP-RNA-9	0	203
10239	Viruses	superkingdom	1	AP-DNA-16	0	22
10239	Viruses	superkingdom	1	AP-RNA-15	0	1
10240	Poxviridae	family	2732527	AP-DNA-10	0	4
10240	Poxviridae	family	2732527	AP-DNA-11	0	2
10240	Poxviridae	family	2732527	AP-DNA-13	0	1
10240	Poxviridae	family	2732527	AP-DNA-14	0	2
10240	Poxviridae	family	2732527	AP-DNA-2	0	7
10240	Poxviridae	family	2732527	AP-DNA-6	0	2
10240	Poxviridae	family	2732527	AP-DNA-7	0	3
10240	Poxviridae	family	2732527	AP-RNA-3	0	1
10240	Poxviridae	family	2732527	AP-RNA-5	0	1
10240	Poxviridae	family	2732527	AP-DNA-12	0	2
10240	Poxviridae	family	2732527	AP-DNA-4	0	5
