library,sample
SRR8288635,SRR8288635
SRR8288638,SRR8288638
SRR8288639,SRR8288639
SRR8288640,SRR8288640
SRR8288662,SRR8288662
SRR8288669,SRR8288669
SRR8288679,SRR8288679
SRR8288681,SRR8288681
SRR8288692,SRR8288692
SRR8288713,SRR8288713
SRR8288716,SRR8288716
SRR8288783,SRR8288783
SRR8288785,SRR8288785
SRR8288786,SRR8288786
SRR8288792,SRR8288792
SRR8288793,SRR8288793
SRR8288803,SRR8288803
SRR8288846,SRR8288846
SRR8288848,SRR8288848
SRR8288849,SRR8288849
SRR8288852,SRR8288852
SRR8288853,SRR8288853
SRR8288855,SRR8288855
SRR8288863,SRR8288863
SRR8288866,SRR8288866
SRR8288867,SRR8288867
SRR8288868,SRR8288868
SRR8288889,SRR8288889
SRR8288932,SRR8288932
SRR8288946,SRR8288946
SRR8288947,SRR8288947
SRR8288950,SRR8288950
SRR8288951,SRR8288951
SRR8288953,SRR8288953
SRR8288965,SRR8288965
SRR8289000,SRR8289000
SRR8289101,SRR8289101
SRR8289109,SRR8289109
SRR8289115,SRR8289115
SRR8289116,SRR8289116
SRR8289171,SRR8289171
SRR8289184,SRR8289184
SRR8289190,SRR8289190
SRR8289228,SRR8289228
SRR8289239,SRR8289239
SRR8289246,SRR8289246
SRR8289260,SRR8289260
SRR8289262,SRR8289262
SRR8289265,SRR8289265
SRR8289270,SRR8289270
SRR8289347,SRR8289347
SRR8289391,SRR8289391
SRR8289465,SRR8289465
SRR8289470,SRR8289470
SRR8289471,SRR8289471
SRR8289486,SRR8289486
SRR8288576,SRR8288576
SRR8288577,SRR8288577
SRR8288590,SRR8288590
SRR8288637,SRR8288637
SRR8288660,SRR8288660
SRR8288680,SRR8288680
SRR8288682,SRR8288682
SRR8288698,SRR8288698
SRR8288707,SRR8288707
SRR8288711,SRR8288711
SRR8288717,SRR8288717
SRR8288719,SRR8288719
SRR8288735,SRR8288735
SRR8288784,SRR8288784
SRR8288787,SRR8288787
SRR8288791,SRR8288791
SRR8288795,SRR8288795
SRR8288798,SRR8288798
SRR8288800,SRR8288800
SRR8288833,SRR8288833
SRR8288854,SRR8288854
SRR8288859,SRR8288859
SRR8288861,SRR8288861
SRR8288862,SRR8288862
SRR8288900,SRR8288900
SRR8288931,SRR8288931
SRR8288935,SRR8288935
SRR8288945,SRR8288945
SRR8288949,SRR8288949
SRR8289001,SRR8289001
SRR8289075,SRR8289075
SRR8289102,SRR8289102
SRR8289106,SRR8289106
SRR8289107,SRR8289107
SRR8289110,SRR8289110
SRR8289113,SRR8289113
SRR8289122,SRR8289122
SRR8289147,SRR8289147
SRR8289152,SRR8289152
SRR8289165,SRR8289165
SRR8289175,SRR8289175
SRR8289258,SRR8289258
SRR8289259,SRR8289259
SRR8289264,SRR8289264
SRR8289326,SRR8289326
SRR8289334,SRR8289334
SRR8289348,SRR8289348
SRR8289349,SRR8289349
SRR8289353,SRR8289353
SRR8289375,SRR8289375
SRR8289395,SRR8289395
SRR8288636,SRR8288636
SRR8288664,SRR8288664
SRR8288678,SRR8288678
SRR8288687,SRR8288687
SRR8288705,SRR8288705
SRR8288709,SRR8288709
SRR8288712,SRR8288712
SRR8288714,SRR8288714
SRR8288788,SRR8288788
SRR8288789,SRR8288789
SRR8288790,SRR8288790
SRR8288794,SRR8288794
SRR8288796,SRR8288796
SRR8288799,SRR8288799
SRR8288804,SRR8288804
SRR8288856,SRR8288856
SRR8288857,SRR8288857
SRR8288858,SRR8288858
SRR8288860,SRR8288860
SRR8288883,SRR8288883
SRR8288944,SRR8288944
SRR8288948,SRR8288948
SRR8288952,SRR8288952
SRR8288961,SRR8288961
SRR8288964,SRR8288964
SRR8289103,SRR8289103
SRR8289104,SRR8289104
SRR8289108,SRR8289108
SRR8289111,SRR8289111
SRR8289112,SRR8289112
SRR8289114,SRR8289114
SRR8289120,SRR8289120
SRR8289121,SRR8289121
SRR8289167,SRR8289167
SRR8289169,SRR8289169
SRR8289173,SRR8289173
SRR8289179,SRR8289179
SRR8289227,SRR8289227
SRR8289247,SRR8289247
SRR8289261,SRR8289261
SRR8289263,SRR8289263
SRR8289271,SRR8289271
SRR8289291,SRR8289291
SRR8289305,SRR8289305
SRR8289329,SRR8289329
SRR8289338,SRR8289338
SRR8289371,SRR8289371
SRR8289394,SRR8289394
SRR8289437,SRR8289437
SRR8289466,SRR8289466
SRR8289517,SRR8289517
SRR8289520,SRR8289520
SRR8289533,SRR8289533
SRR8289436,SRR8289436
SRR8289446,SRR8289446
SRR8289451,SRR8289451
SRR8289453,SRR8289453
SRR8289509,SRR8289509
SRR8289518,SRR8289518
SRR8289521,SRR8289521
SRR8289522,SRR8289522
SRR8289531,SRR8289531
SRR8289532,SRR8289532
