experiment_accession	run_accession	description
SRX5103472	SRR8288572	NextSeq 500 sequencing: DNA sequencing of clinical human plasma with previously observed taxa: Escherichia coli
SRX5103471	SRR8288573	NextSeq 500 sequencing: DNA sequencing of clinical human plasma with previously observed taxa: Escherichia coli
SRX5103466	SRR8288578	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103462	SRR8288582	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103461	SRR8288583	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103460	SRR8288584	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103458	SRR8288586	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103457	SRR8288587	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103450	SRR8288594	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_3,160 Shigella flexneri_3,160 Staphylococcus aureus_3,160 Plasmodium falciparum_3,160 Clostridium sporogenes_3,160 Cryptosporidium parvum_3,160 Staphylococcus epidermidis_3,160 Aspergillus fumigatus_3,160 Human mastadenovirus B_3,160 Escherichia coli_3,160 Bordetella pertussis_3,160 Salmonella enterica_3,160 Leishmania major_3,160 Pseudomonas aeruginosa_3,160
SRX5103447	SRR8288597	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_316 Shigella flexneri_316 Staphylococcus aureus_316 Plasmodium falciparum_316 Clostridium sporogenes_316 Cryptosporidium parvum_316 Staphylococcus epidermidis_316 Aspergillus fumigatus_316 Human mastadenovirus B_316 Escherichia coli_316 Bordetella pertussis_316 Salmonella enterica_316 Leishmania major_316 Pseudomonas aeruginosa_316
