library,sample
CRR389675,CRR389675
CRR389676,CRR389676
CRR389677,CRR389677
CRR389678,CRR389678
CRR389679,CRR389679
CRR389680,CRR389680
CRR389681,CRR389681
CRR389682,CRR389682
CRR389683,CRR389683
CRR389684,CRR389684
CRR389685,CRR389685
CRR389686,CRR389686
CRR389687,CRR389687
CRR389688,CRR389688
CRR389689,CRR389689
CRR389690,CRR389690
CRR389691,CRR389691
CRR389692,CRR389692
CRR389693,CRR389693
CRR389694,CRR389694
CRR389695,CRR389695
CRR389696,CRR389696
CRR389697,CRR389697
CRR389698,CRR389698
CRR389699,CRR389699
CRR389700,CRR389700
CRR389701,CRR389701
CRR389702,CRR389702
CRR389703,CRR389703
CRR389704,CRR389704
CRR389705,CRR389705
CRR389706,CRR389706
CRR389707,CRR389707
CRR389708,CRR389708
CRR389709,CRR389709
CRR389710,CRR389710
CRR389711,CRR389711
CRR389712,CRR389712
CRR389713,CRR389713
CRR389714,CRR389714
CRR389715,CRR389715
CRR389716,CRR389716
CRR389717,CRR389717
CRR389718,CRR389718
CRR389719,CRR389719
CRR389720,CRR389720
CRR389721,CRR389721
CRR389722,CRR389722
CRR389723,CRR389723
CRR389724,CRR389724
CRR389725,CRR389725
CRR389726,CRR389726
CRR389727,CRR389727
CRR389728,CRR389728
CRR389729,CRR389729
CRR389730,CRR389730
CRR389731,CRR389731
CRR389732,CRR389732
CRR389733,CRR389733
CRR389734,CRR389734
CRR389735,CRR389735
CRR389736,CRR389736
CRR389737,CRR389737
CRR389738,CRR389738
CRR389739,CRR389739
CRR389740,CRR389740
CRR389741,CRR389741
CRR389742,CRR389742
CRR389743,CRR389743
CRR389744,CRR389744
CRR389745,CRR389745
CRR389746,CRR389746
CRR389747,CRR389747
CRR389748,CRR389748
CRR389749,CRR389749
CRR389750,CRR389750
CRR389751,CRR389751
CRR389752,CRR389752
CRR389753,CRR389753
CRR389754,CRR389754
CRR389755,CRR389755
CRR389756,CRR389756
CRR389757,CRR389757
CRR389758,CRR389758
CRR389759,CRR389759
CRR389760,CRR389760
CRR389761,CRR389761
CRR389762,CRR389762
CRR389763,CRR389763
CRR389764,CRR389764
CRR389765,CRR389765
CRR389766,CRR389766
CRR389767,CRR389767
CRR389768,CRR389768
CRR389769,CRR389769
CRR389770,CRR389770
CRR389771,CRR389771
CRR389772,CRR389772
CRR389773,CRR389773
CRR389774,CRR389774
CRR389775,CRR389775
CRR389776,CRR389776
CRR389777,CRR389777
CRR389778,CRR389778
CRR389779,CRR389779
CRR389780,CRR389780
CRR389781,CRR389781
CRR389782,CRR389782
CRR389783,CRR389783
CRR389784,CRR389784
CRR389785,CRR389785
CRR389786,CRR389786
CRR389787,CRR389787
CRR389788,CRR389788
CRR389789,CRR389789
CRR389790,CRR389790
CRR389791,CRR389791
CRR389792,CRR389792
CRR389793,CRR389793
CRR389794,CRR389794
CRR389795,CRR389795
CRR389796,CRR389796
CRR389797,CRR389797
CRR389798,CRR389798
CRR389799,CRR389799
CRR389800,CRR389800
CRR389801,CRR389801
CRR389802,CRR389802
CRR389803,CRR389803
CRR389804,CRR389804
CRR389805,CRR389805
CRR389806,CRR389806
CRR389807,CRR389807
CRR389808,CRR389808
CRR389809,CRR389809
CRR389810,CRR389810
CRR389811,CRR389811
CRR389812,CRR389812
CRR389813,CRR389813
CRR389814,CRR389814
CRR389815,CRR389815
CRR389816,CRR389816
CRR389817,CRR389817
CRR389818,CRR389818
CRR389819,CRR389819
CRR389820,CRR389820
CRR389821,CRR389821
CRR389822,CRR389822
CRR389823,CRR389823
CRR389824,CRR389824
CRR389825,CRR389825
CRR389826,CRR389826
CRR389827,CRR389827
CRR389828,CRR389828
CRR389829,CRR389829
CRR389830,CRR389830
CRR389831,CRR389831
CRR389832,CRR389832
CRR389833,CRR389833
CRR389834,CRR389834
CRR389835,CRR389835
CRR389836,CRR389836
CRR389837,CRR389837
CRR389838,CRR389838
CRR389839,CRR389839
CRR389840,CRR389840
CRR389841,CRR389841
CRR389842,CRR389842
CRR389843,CRR389843
CRR389844,CRR389844
CRR389845,CRR389845
CRR389846,CRR389846
CRR389847,CRR389847
CRR389848,CRR389848
CRR389849,CRR389849
CRR389850,CRR389850
CRR389851,CRR389851
CRR389852,CRR389852
CRR389853,CRR389853
CRR389854,CRR389854
CRR389855,CRR389855
CRR389856,CRR389856
CRR389857,CRR389857
CRR389858,CRR389858
CRR389859,CRR389859
CRR389860,CRR389860
CRR389861,CRR389861
CRR389862,CRR389862
CRR389863,CRR389863
CRR389864,CRR389864
CRR389865,CRR389865
CRR389866,CRR389866
CRR389867,CRR389867
CRR389868,CRR389868
CRR389869,CRR389869
CRR389870,CRR389870
CRR389871,CRR389871
CRR389872,CRR389872
CRR389873,CRR389873
CRR389874,CRR389874
CRR389875,CRR389875
