pc_reads_total	n_reads_clade	n_reads_direct	n_minimizers_total	n_minimizers_distinct	rank	taxid	name	sample
42.33	12174877	12174877	0	0	U	0	unclassified	AP-DNA-1
57.67	16587102	2563	153259354	95653163	R	1	root	AP-DNA-1
57.64	16579078	8729	153085540	95635862	R1	131567	cellular organisms	AP-DNA-1
44.75	12869984	0	124035349	77369599	D	2759	Eukaryota	AP-DNA-1
44.75	12869984	0	124035348	77369599	D1	33154	Opisthokonta	AP-DNA-1
44.75	12869984	0	124035348	77369599	K	33208	Metazoa	AP-DNA-1
44.75	12869984	0	124035348	77369599	K1	6072	Eumetazoa	AP-DNA-1
44.75	12869984	0	124035348	77369599	K2	33213	Bilateria	AP-DNA-1
44.75	12869984	0	124035348	77369599	K3	33511	Deuterostomia	AP-DNA-1
44.75	12869984	0	124035348	77369599	P	7711	Chordata	AP-DNA-1
44.75	12869984	0	124035348	77369599	P1	89593	Craniata	AP-DNA-1
44.75	12869984	0	124035348	77369599	P2	7742	Vertebrata	AP-DNA-1
44.75	12869984	0	124035348	77369599	P3	7776	Gnathostomata	AP-DNA-1
44.75	12869984	0	124035348	77369599	P4	117570	Teleostomi	AP-DNA-1
44.75	12869984	0	124035348	77369599	P5	117571	Euteleostomi	AP-DNA-1
44.75	12869984	0	124035348	77369599	P6	8287	Sarcopterygii	AP-DNA-1
44.75	12869984	0	124035348	77369599	P7	1338369	Dipnotetrapodomorpha	AP-DNA-1
44.75	12869984	0	124035348	77369599	P8	32523	Tetrapoda	AP-DNA-1
44.75	12869984	0	124035348	77369599	P9	32524	Amniota	AP-DNA-1
44.75	12869984	0	124035348	77369599	C	40674	Mammalia	AP-DNA-1
44.75	12869984	0	124035348	77369599	C1	32525	Theria	AP-DNA-1
44.75	12869984	0	124035348	77369599	C2	9347	Eutheria	AP-DNA-1
44.75	12869984	0	124035348	77369599	C3	1437010	Boreoeutheria	AP-DNA-1
44.75	12869984	0	124035348	77369599	C4	314146	Euarchontoglires	AP-DNA-1
44.75	12869984	0	124035348	77369599	O	9443	Primates	AP-DNA-1
44.75	12869984	0	124035348	77369599	O1	376913	Haplorrhini	AP-DNA-1
44.75	12869984	0	124035348	77369599	O2	314293	Simiiformes	AP-DNA-1
44.75	12869984	0	124035348	77369599	O3	9526	Catarrhini	AP-DNA-1
44.75	12869984	0	124035348	77369599	O4	314295	Hominoidea	AP-DNA-1
44.75	12869984	0	124035348	77369599	F	9604	Hominidae	AP-DNA-1
44.75	12869984	0	124035348	77369599	F1	207598	Homininae	AP-DNA-1
44.75	12869984	0	124035348	77369599	G	9605	Homo	AP-DNA-1
44.75	12869984	12869984	124035348	77369599	S	9606	Homo sapiens	AP-DNA-1
12.84	3693826	44805	27436850	17187842	D	2	Bacteria	AP-DNA-1
7.41	2131240	43071	16353911	8844891	P	1224	Proteobacteria	AP-DNA-1
4.38	1258356	19476	10084376	5302456	C	1236	Gammaproteobacteria	AP-DNA-1
1.57	452087	115	3193256	1922890	O	72274	Pseudomonadales	AP-DNA-1
1.57	451636	3997	3188296	1920803	F	135621	Pseudomonadaceae	AP-DNA-1
1.48	426292	191084	2931686	1725413	G	286	Pseudomonas	AP-DNA-1
0.3	85841	22284	258522	160773	G1	196821	unclassified Pseudomonas	AP-DNA-1
0.02	6415	6415	13625	4567	S	2073078	Pseudomonas sp. DTU12.3	AP-DNA-1
0.01	4268	4268	15442	13502	S	2479392	Pseudomonas sp. LTJR-52	AP-DNA-1
0.01	3104	3104	12104	11117	S	2804761	Pseudomonas sp. 15A4	AP-DNA-1
0.01	2768	2768	9538	6465	S	2605424	Pseudomonas sp. J380	AP-DNA-1
0.01	2529	2529	5419	1896	S	2825975	Pseudomonas sp. SCA2728.1_7	AP-DNA-1
0.01	2359	2359	4737	1885	S	2678259	Pseudomonas sp. Seg1	AP-DNA-1
0.01	2214	2214	4407	1501	S	1573712	Pseudomonas sp. R84	AP-DNA-1
0.01	1963	1963	3940	1733	S	2901380	Pseudomonas sp. NIBR-H-19	AP-DNA-1
0.01	1866	1866	9288	8661	S	2320270	Pseudomonas sp. DG56-2	AP-DNA-1
0	1317	1317	3481	3175	S	2895485	Pseudomonas sp. B21-036	AP-DNA-1
0	1232	1232	3584	2858	S	2855434	Pseudomonas sp. AO-1	AP-DNA-1
0	998	998	2247	1563	S	2664899	Pseudomonas sp. CFSAN084952	AP-DNA-1
0	891	891	2382	2101	S	2991051	Pseudomonas sp. KU26590	AP-DNA-1
0	833	833	2044	1835	S	2974552	Pseudomonas sp. GCEP-101	AP-DNA-1
0	736	736	2357	974	S	2749808	Pseudomonas sp. Y5-11	AP-DNA-1
0	729	729	2135	1616	S	306	Pseudomonas sp.	AP-DNA-1
0	690	690	2703	2561	S	2705472	Pseudomonas sp. MTM4	AP-DNA-1
0	654	654	1379	470	S	1573720	Pseudomonas sp. S49	AP-DNA-1
0	647	647	1297	471	S	2005388	Pseudomonas sp. RU47	AP-DNA-1
0	612	612	1158	504	S	2895491	Pseudomonas sp. B21-051	AP-DNA-1
0	563	563	1092	462	S	2975049	Pseudomonas sp. N3-W	AP-DNA-1
0	560	560	1379	572	S	2895486	Pseudomonas sp. B21-040	AP-DNA-1
0	546	546	1398	1215	S	2811422	Pseudomonas sp. PDNC002	AP-DNA-1
0	546	546	1310	755	S	1283291	Pseudomonas sp. URMO17WK12:I11	AP-DNA-1
0	526	526	1236	1020	S	1827300	Pseudomonas sp. MYb193	AP-DNA-1
0	476	476	1593	1350	S	2812000	Pseudomonas sp. SDM007	AP-DNA-1
0	471	471	1685	1607	S	2870860	Pseudomonas sp. DNDY-54	AP-DNA-1
0	468	468	874	365	S	2850559	Pseudomonas sp. HS6	AP-DNA-1
0	456	456	1020	412	S	2961896	Pseudomonas sp. In5(2022)	AP-DNA-1
0	435	435	1006	479	S	2866807	Pseudomonas sp. MM213	AP-DNA-1
0	422	422	819	330	S	2201356	Pseudomonas sp. 31-12	AP-DNA-1
0	422	422	904	366	S	2973088	Pseudomonas sp. BW7P1	AP-DNA-1
0	420	420	1472	1310	S	658630	Pseudomonas sp. CMR5c	AP-DNA-1
0	411	411	914	520	S	2931382	Pseudomonas sp. PIA16	AP-DNA-1
0	408	408	924	735	S	2018067	Pseudomonas sp. FDAARGOS_380	AP-DNA-1
0	386	386	847	415	S	2815936	Pseudomonas sp. PP3	AP-DNA-1
0	384	384	796	368	S	1573718	Pseudomonas sp. S34	AP-DNA-1
