position	pc_adapters	sample	adapter	read_pair	stage
1	8.506009366248291e-4	AP-DNA-1	illumina_universal_adapter	1	raw_concat
2	8.861774016547649e-4	AP-DNA-1	illumina_universal_adapter	1	raw_concat
3	9.670330039955281e-4	AP-DNA-1	illumina_universal_adapter	1	raw_concat
4	0.0010899335195534883	AP-DNA-1	illumina_universal_adapter	1	raw_concat
5	0.0012257709314859703	AP-DNA-1	illumina_universal_adapter	1	raw_concat
6	0.0013648425675120831	AP-DNA-1	illumina_universal_adapter	1	raw_concat
7	0.00146833773850826	AP-DNA-1	illumina_universal_adapter	1	raw_concat
8	0.0016526885118452002	AP-DNA-1	illumina_universal_adapter	1	raw_concat
9	0.0017788232514967907	AP-DNA-1	illumina_universal_adapter	1	raw_concat
10	0.002013304498285004	AP-DNA-1	illumina_universal_adapter	1	raw_concat
12	0.002446690526831495	AP-DNA-1	illumina_universal_adapter	1	raw_concat
14	0.0038988571448716025	AP-DNA-1	illumina_universal_adapter	1	raw_concat
16	0.007940020149862947	AP-DNA-1	illumina_universal_adapter	1	raw_concat
18	0.012610239741065432	AP-DNA-1	illumina_universal_adapter	1	raw_concat
20	0.01574581999984023	AP-DNA-1	illumina_universal_adapter	1	raw_concat
22	0.01946841193160897	AP-DNA-1	illumina_universal_adapter	1	raw_concat
24	0.02692653269152097	AP-DNA-1	illumina_universal_adapter	1	raw_concat
26	0.03982623548896633	AP-DNA-1	illumina_universal_adapter	1	raw_concat
28	0.059470912633678166	AP-DNA-1	illumina_universal_adapter	1	raw_concat
30	0.08673703885503034	AP-DNA-1	illumina_universal_adapter	1	raw_concat
32	0.12248006642578813	AP-DNA-1	illumina_universal_adapter	1	raw_concat
34	0.16920490190646836	AP-DNA-1	illumina_universal_adapter	1	raw_concat
36	0.23101415855984142	AP-DNA-1	illumina_universal_adapter	1	raw_concat
38	0.3090446661548184	AP-DNA-1	illumina_universal_adapter	1	raw_concat
40	0.3992245365575184	AP-DNA-1	illumina_universal_adapter	1	raw_concat
42	0.49760801637371227	AP-DNA-1	illumina_universal_adapter	1	raw_concat
44	0.6077559863304871	AP-DNA-1	illumina_universal_adapter	1	raw_concat
46	0.7352814423423389	AP-DNA-1	illumina_universal_adapter	1	raw_concat
48	0.8824499583868557	AP-DNA-1	illumina_universal_adapter	1	raw_concat
50	1.0497887129912993	AP-DNA-1	illumina_universal_adapter	1	raw_concat
52	1.220382714145982	AP-DNA-1	illumina_universal_adapter	1	raw_concat
54	1.4017385959722204	AP-DNA-1	illumina_universal_adapter	1	raw_concat
56	1.5983697181926755	AP-DNA-1	illumina_universal_adapter	1	raw_concat
58	1.820488143382986	AP-DNA-1	illumina_universal_adapter	1	raw_concat
60	2.0718342517074357	AP-DNA-1	illumina_universal_adapter	1	raw_concat
62	2.3282289838420427	AP-DNA-1	illumina_universal_adapter	1	raw_concat
64	2.592804685821488	AP-DNA-1	illumina_universal_adapter	1	raw_concat
66	2.878260538549412	AP-DNA-1	illumina_universal_adapter	1	raw_concat
68	3.198015337790288	AP-DNA-1	illumina_universal_adapter	1	raw_concat
70	3.563980730880957	AP-DNA-1	illumina_universal_adapter	1	raw_concat
72	3.929333238505883	AP-DNA-1	illumina_universal_adapter	1	raw_concat
74	4.299988256532316	AP-DNA-1	illumina_universal_adapter	1	raw_concat
76	4.694655771341909	AP-DNA-1	illumina_universal_adapter	1	raw_concat
78	5.1300599557228255	AP-DNA-1	illumina_universal_adapter	1	raw_concat
80	5.630585242228992	AP-DNA-1	illumina_universal_adapter	1	raw_concat
82	6.132771302807239	AP-DNA-1	illumina_universal_adapter	1	raw_concat
84	6.6234629309567215	AP-DNA-1	illumina_universal_adapter	1	raw_concat
86	7.1300604731986805	AP-DNA-1	illumina_universal_adapter	1	raw_concat
88	7.670059464767608	AP-DNA-1	illumina_universal_adapter	1	raw_concat
90	8.267496659127367	AP-DNA-1	illumina_universal_adapter	1	raw_concat
92	8.890828668692778	AP-DNA-1	illumina_universal_adapter	1	raw_concat
94	9.498243444381387	AP-DNA-1	illumina_universal_adapter	1	raw_concat
96	10.111015712281096	AP-DNA-1	illumina_universal_adapter	1	raw_concat
98	10.750693490415717	AP-DNA-1	illumina_universal_adapter	1	raw_concat
100	11.42867095026711	AP-DNA-1	illumina_universal_adapter	1	raw_concat
102	12.12152260672511	AP-DNA-1	illumina_universal_adapter	1	raw_concat
104	12.797313731089208	AP-DNA-1	illumina_universal_adapter	1	raw_concat
106	13.468337609139297	AP-DNA-1	illumina_universal_adapter	1	raw_concat
108	14.147139796134566	AP-DNA-1	illumina_universal_adapter	1	raw_concat
110	14.854566483470512	AP-DNA-1	illumina_universal_adapter	1	raw_concat
112	15.578984167082346	AP-DNA-1	illumina_universal_adapter	1	raw_concat
114	16.271586788285134	AP-DNA-1	illumina_universal_adapter	1	raw_concat
116	16.94800050078726	AP-DNA-1	illumina_universal_adapter	1	raw_concat
118	17.62364285084305	AP-DNA-1	illumina_universal_adapter	1	raw_concat
120	18.31189544063991	AP-DNA-1	illumina_universal_adapter	1	raw_concat
122	19.011307720671837	AP-DNA-1	illumina_universal_adapter	1	raw_concat
124	19.69228007203393	AP-DNA-1	illumina_universal_adapter	1	raw_concat
126	20.342701942607594	AP-DNA-1	illumina_universal_adapter	1	raw_concat
128	20.97797632463874	AP-DNA-1	illumina_universal_adapter	1	raw_concat
130	21.611688576432655	AP-DNA-1	illumina_universal_adapter	1	raw_concat
132	22.245423467795227	AP-DNA-1	illumina_universal_adapter	1	raw_concat
134	22.876973640782555	AP-DNA-1	illumina_universal_adapter	1	raw_concat
136	23.48484282495632	AP-DNA-1	illumina_universal_adapter	1	raw_concat
138	24.07098772589317	AP-DNA-1	illumina_universal_adapter	1	raw_concat
1	0.002972251942046456	AP-DNA-1	polya	1	raw_concat
2	0.011753170356253341	AP-DNA-1	polya	1	raw_concat
3	0.018396266644570447	AP-DNA-1	polya	1	raw_concat
4	0.027028410750470327	AP-DNA-1	polya	1	raw_concat
5	0.03467735073190653	AP-DNA-1	polya	1	raw_concat
6	0.04280819010329368	AP-DNA-1	polya	1	raw_concat
7	0.050253373966831154	AP-DNA-1	polya	1	raw_concat
8	0.058377744890031044	AP-DNA-1	polya	1	raw_concat
9	0.06535073203589846	AP-DNA-1	polya	1	raw_concat
10	0.07764401781578811	AP-DNA-1	polya	1	raw_concat
12	0.09486140977823022	AP-DNA-1	polya	1	raw_concat
14	0.1126464080691045	AP-DNA-1	polya	1	raw_concat
16	0.1279410538078833	AP-DNA-1	polya	1	raw_concat
18	0.14309177657449548	AP-DNA-1	polya	1	raw_concat
20	0.15771693792589275	AP-DNA-1	polya	1	raw_concat
22	0.1736357889147422	AP-DNA-1	polya	1	raw_concat
24	0.18824963048181173	AP-DNA-1	polya	1	raw_concat
26	0.20210666361097174	AP-DNA-1	polya	1	raw_concat
28	0.21502092041683846	AP-DNA-1	polya	1	raw_concat
30	0.22907200699161628	AP-DNA-1	polya	1	raw_concat
32	0.2429743192580871	AP-DNA-1	polya	1	raw_concat
34	0.2562168498094573	AP-DNA-1	polya	1	raw_concat
36	0.26963402846188356	AP-DNA-1	polya	1	raw_concat
38	0.2823348264775707	AP-DNA-1	polya	1	raw_concat
40	0.2951455881124412	AP-DNA-1	polya	1	raw_concat
42	0.30925165649681075	AP-DNA-1	polya	1	raw_concat
44	0.3231976307885456	AP-DNA-1	polya	1	raw_concat
46	0.3361587838437699	AP-DNA-1	polya	1	raw_concat
48	0.34811732742996876	AP-DNA-1	polya	1	raw_concat
50	0.36065318001688074	AP-DNA-1	polya	1	raw_concat
52	0.37457974896405377	AP-DNA-1	polya	1	raw_concat
54	0.3880163329610418	AP-DNA-1	polya	1	raw_concat
56	0.4014302773893744	AP-DNA-1	polya	1	raw_concat
58	0.4133888209755733	AP-DNA-1	polya	1	raw_concat
60	0.42648742855477695	AP-DNA-1	polya	1	raw_concat
62	0.43947122117865667	AP-DNA-1	polya	1	raw_concat
64	0.45271536884207375	AP-DNA-1	polya	1	raw_concat
66	0.4656829903454853	AP-DNA-1	polya	1	raw_concat
68	0.47833850922386156	AP-DNA-1	polya	1	raw_concat
70	0.4908953842673821	AP-DNA-1	polya	1	raw_concat
72	0.5035864796107883	AP-DNA-1	polya	1	raw_concat
74	0.5157778873317286	AP-DNA-1	polya	1	raw_concat
76	0.5282813976777042	AP-DNA-1	polya	1	raw_concat
78	0.5393941916634186	AP-DNA-1	polya	1	raw_concat
80	0.5508287909464494	AP-DNA-1	polya	1	raw_concat
82	0.5623296918233995	AP-DNA-1	polya	1	raw_concat
84	0.5736478590390597	AP-DNA-1	polya	1	raw_concat
86	0.585111566338933	AP-DNA-1	polya	1	raw_concat
88	0.5954691689987848	AP-DNA-1	polya	1	raw_concat
90	0.6066466474663719	AP-DNA-1	polya	1	raw_concat
92	0.6185097814418087	AP-DNA-1	polya	1	raw_concat
94	0.6306866351543277	AP-DNA-1	polya	1	raw_concat
