mean_phred_score	n_sequences	sample	read_pair	stage
15	5	AP-DNA-1	1	raw_concat
16	46	AP-DNA-1	1	raw_concat
17	798	AP-DNA-1	1	raw_concat
18	5212	AP-DNA-1	1	raw_concat
19	17433	AP-DNA-1	1	raw_concat
20	39883	AP-DNA-1	1	raw_concat
21	74621	AP-DNA-1	1	raw_concat
22	123105	AP-DNA-1	1	raw_concat
23	194972	AP-DNA-1	1	raw_concat
24	307767	AP-DNA-1	1	raw_concat
25	481798	AP-DNA-1	1	raw_concat
26	719773	AP-DNA-1	1	raw_concat
27	1036456	AP-DNA-1	1	raw_concat
28	1434385	AP-DNA-1	1	raw_concat
29	1933831	AP-DNA-1	1	raw_concat
30	2585779	AP-DNA-1	1	raw_concat
31	3475471	AP-DNA-1	1	raw_concat
32	4693818	AP-DNA-1	1	raw_concat
33	6088036	AP-DNA-1	1	raw_concat
34	6079836	AP-DNA-1	1	raw_concat
35	1626292	AP-DNA-1	1	raw_concat
4	30	AP-DNA-1	2	raw_concat
5	142	AP-DNA-1	2	raw_concat
6	167	AP-DNA-1	2	raw_concat
7	224	AP-DNA-1	2	raw_concat
8	260	AP-DNA-1	2	raw_concat
9	321	AP-DNA-1	2	raw_concat
10	341	AP-DNA-1	2	raw_concat
11	311	AP-DNA-1	2	raw_concat
12	299	AP-DNA-1	2	raw_concat
13	305	AP-DNA-1	2	raw_concat
14	3431	AP-DNA-1	2	raw_concat
15	19197	AP-DNA-1	2	raw_concat
16	30127	AP-DNA-1	2	raw_concat
17	35285	AP-DNA-1	2	raw_concat
18	45774	AP-DNA-1	2	raw_concat
19	68839	AP-DNA-1	2	raw_concat
20	113362	AP-DNA-1	2	raw_concat
21	185292	AP-DNA-1	2	raw_concat
22	290672	AP-DNA-1	2	raw_concat
23	431387	AP-DNA-1	2	raw_concat
24	607452	AP-DNA-1	2	raw_concat
25	833224	AP-DNA-1	2	raw_concat
26	1117613	AP-DNA-1	2	raw_concat
27	1474218	AP-DNA-1	2	raw_concat
28	1928805	AP-DNA-1	2	raw_concat
29	2527777	AP-DNA-1	2	raw_concat
30	3323210	AP-DNA-1	2	raw_concat
31	4311827	AP-DNA-1	2	raw_concat
32	5257628	AP-DNA-1	2	raw_concat
33	5253832	AP-DNA-1	2	raw_concat
34	2829959	AP-DNA-1	2	raw_concat
35	228006	AP-DNA-1	2	raw_concat
16	79	AP-DNA-2	1	raw_concat
17	1363	AP-DNA-2	1	raw_concat
18	8338	AP-DNA-2	1	raw_concat
19	27310	AP-DNA-2	1	raw_concat
20	60122	AP-DNA-2	1	raw_concat
21	106767	AP-DNA-2	1	raw_concat
22	174008	AP-DNA-2	1	raw_concat
23	273963	AP-DNA-2	1	raw_concat
24	433762	AP-DNA-2	1	raw_concat
25	676695	AP-DNA-2	1	raw_concat
26	1017098	AP-DNA-2	1	raw_concat
27	1460857	AP-DNA-2	1	raw_concat
28	2041013	AP-DNA-2	1	raw_concat
29	2849606	AP-DNA-2	1	raw_concat
30	4117309	AP-DNA-2	1	raw_concat
31	5352580	AP-DNA-2	1	raw_concat
32	6117203	AP-DNA-2	1	raw_concat
33	7252402	AP-DNA-2	1	raw_concat
34	6835671	AP-DNA-2	1	raw_concat
35	1976273	AP-DNA-2	1	raw_concat
3	2	AP-DNA-2	2	raw_concat
4	42	AP-DNA-2	2	raw_concat
5	167	AP-DNA-2	2	raw_concat
6	242	AP-DNA-2	2	raw_concat
7	312	AP-DNA-2	2	raw_concat
8	381	AP-DNA-2	2	raw_concat
9	418	AP-DNA-2	2	raw_concat
10	444	AP-DNA-2	2	raw_concat
11	425	AP-DNA-2	2	raw_concat
12	400	AP-DNA-2	2	raw_concat
13	430	AP-DNA-2	2	raw_concat
14	4439	AP-DNA-2	2	raw_concat
15	25121	AP-DNA-2	2	raw_concat
16	39432	AP-DNA-2	2	raw_concat
17	47001	AP-DNA-2	2	raw_concat
18	63417	AP-DNA-2	2	raw_concat
19	98714	AP-DNA-2	2	raw_concat
20	163592	AP-DNA-2	2	raw_concat
21	268923	AP-DNA-2	2	raw_concat
22	421724	AP-DNA-2	2	raw_concat
23	627505	AP-DNA-2	2	raw_concat
24	885356	AP-DNA-2	2	raw_concat
25	1217968	AP-DNA-2	2	raw_concat
26	1641060	AP-DNA-2	2	raw_concat
27	2179128	AP-DNA-2	2	raw_concat
28	2855402	AP-DNA-2	2	raw_concat
29	3715592	AP-DNA-2	2	raw_concat
30	4752246	AP-DNA-2	2	raw_concat
31	5867342	AP-DNA-2	2	raw_concat
32	6665321	AP-DNA-2	2	raw_concat
33	6076906	AP-DNA-2	2	raw_concat
34	2946205	AP-DNA-2	2	raw_concat
35	216762	AP-DNA-2	2	raw_concat
25	20501	AP-DNA-1	1	cleaned
26	114688	AP-DNA-1	1	cleaned
27	345774	AP-DNA-1	1	cleaned
28	787617	AP-DNA-1	1	cleaned
29	1450381	AP-DNA-1	1	cleaned
30	2298164	AP-DNA-1	1	cleaned
31	3301172	AP-DNA-1	1	cleaned
32	4473307	AP-DNA-1	1	cleaned
33	5782462	AP-DNA-1	1	cleaned
34	6630890	AP-DNA-1	1	cleaned
35	4101579	AP-DNA-1	1	cleaned
36	3897	AP-DNA-1	1	cleaned
25	97186	AP-DNA-1	2	cleaned
26	335091	AP-DNA-1	2	cleaned
27	710807	AP-DNA-1	2	cleaned
28	1264744	AP-DNA-1	2	cleaned
29	1982786	AP-DNA-1	2	cleaned
30	2846860	AP-DNA-1	2	cleaned
31	3858865	AP-DNA-1	2	cleaned
32	4978250	AP-DNA-1	2	cleaned
33	5795843	AP-DNA-1	2	cleaned
34	5180752	AP-DNA-1	2	cleaned
35	2255083	AP-DNA-1	2	cleaned
36	4165	AP-DNA-1	2	cleaned
25	25250	AP-DNA-2	1	cleaned
26	139370	AP-DNA-2	1	cleaned
27	421647	AP-DNA-2	1	cleaned
28	967422	AP-DNA-2	1	cleaned
