sample	classification	n_reads	p_reads
AP-DNA-1	Filtered	1608885	0.052034946308807534
AP-DNA-1	Duplicate	473114	0.01530156697833914
AP-DNA-1	Ribosomal	75339	0.002436632089900304
AP-DNA-1	Unassigned	12174906	0.39376374322886887
AP-DNA-1	Bacterial	3696245	0.11954484634961374
AP-DNA-1	Archaeal	6539	2.1148591348250028e-4
AP-DNA-1	Viral	5524	1.7865853893215042e-4
AP-DNA-1	Human	12878765	0.4165281205920558
AP-DNA-2	Filtered	2223984	0.05453291037002979
AP-DNA-2	Duplicate	758744	0.018604683552488635
AP-DNA-2	Ribosomal	107531	0.002636699897571059
AP-DNA-2	Unassigned	16813022	0.412261518866745
AP-DNA-2	Bacterial	4620858	0.11330514749505173
AP-DNA-2	Archaeal	6539	1.603386988888521e-4
AP-DNA-2	Viral	7144	1.751735226887841e-4
AP-DNA-2	Human	16244597	0.39832352759653616
