library,sample
SRR8663600,AP-DNA-16
SRR8663607,AP-DNA-13
SRR8663608,AP-RNA-16
SRR8663609,AP-RNA-15
SRR8663610,AP-DNA-8
SRR8663613,AP-DNA-5
SRR8663615,AP-DNA-3
SRR8663618,AP-DNA-10
SRR8663625,AP-RNA-10
SRR8663628,AP-RNA-13
SRR8663598,AP-RNA-4
SRR8663604,AP-DNA-12
SRR8663605,AP-DNA-11
SRR8663606,AP-DNA-14
SRR8663612,AP-DNA-6
SRR8663614,AP-DNA-4
SRR8663617,AP-DNA-1
SRR8663619,AP-DNA-9
SRR8663623,AP-RNA-8
SRR8663627,AP-RNA-12
SRR8663599,AP-RNA-3
SRR8663601,AP-DNA-15
SRR8663602,AP-RNA-2
SRR8663603,AP-RNA-1
SRR8663611,AP-DNA-7
SRR8663616,AP-DNA-2
SRR8663620,AP-RNA-5
SRR8663621,AP-RNA-6
SRR8663622,AP-RNA-7
SRR8663624,AP-RNA-9
SRR8663626,AP-RNA-11
SRR8663629,AP-RNA-14
