position	pc_adapters	sample	adapter	read_pair	stage
1	9.927534189026824e-4	AP-DNA-10	illumina_universal_adapter	1	raw_concat
2	0.0010584757706767274	AP-DNA-10	illumina_universal_adapter	1	raw_concat
3	0.0011138209090127656	AP-DNA-10	illumina_universal_adapter	1	raw_concat
4	0.0012037567588088272	AP-DNA-10	illumina_universal_adapter	1	raw_concat
5	0.0012867744663128844	AP-DNA-10	illumina_universal_adapter	1	raw_concat
6	0.0013870875295469533	AP-DNA-10	illumina_universal_adapter	1	raw_concat
7	0.0014977778062190295	AP-DNA-10	illumina_universal_adapter	1	raw_concat
8	0.0016914857903951625	AP-DNA-10	illumina_universal_adapter	1	raw_concat
9	0.0017745034978992197	AP-DNA-10	illumina_universal_adapter	1	raw_concat
10	0.002014908942546385	AP-DNA-10	illumina_universal_adapter	1	raw_concat
12	0.0022207236757335264	AP-DNA-10	illumina_universal_adapter	1	raw_concat
14	0.0025147447231437282	AP-DNA-10	illumina_universal_adapter	1	raw_concat
16	0.003114893566975141	AP-DNA-10	illumina_universal_adapter	1	raw_concat
18	0.003887995968106672	AP-DNA-10	illumina_universal_adapter	1	raw_concat
20	0.004569432983869141	AP-DNA-10	illumina_universal_adapter	1	raw_concat
22	0.005830264416587007	AP-DNA-10	illumina_universal_adapter	1	raw_concat
24	0.008165137440138612	AP-DNA-10	illumina_universal_adapter	1	raw_concat
26	0.012039297123661275	AP-DNA-10	illumina_universal_adapter	1	raw_concat
28	0.0181877960856805	AP-DNA-10	illumina_universal_adapter	1	raw_concat
30	0.026107339474452942	AP-DNA-10	illumina_universal_adapter	1	raw_concat
32	0.036963634266181405	AP-DNA-10	illumina_universal_adapter	1	raw_concat
34	0.05094347030275001	AP-DNA-10	illumina_universal_adapter	1	raw_concat
36	0.07010499491603019	AP-DNA-10	illumina_universal_adapter	1	raw_concat
38	0.09457965280957001	AP-DNA-10	illumina_universal_adapter	1	raw_concat
40	0.12305299694788857	AP-DNA-10	illumina_universal_adapter	1	raw_concat
42	0.1558207779139691	AP-DNA-10	illumina_universal_adapter	1	raw_concat
44	0.19451048868200568	AP-DNA-10	illumina_universal_adapter	1	raw_concat
46	0.2403656653289862	AP-DNA-10	illumina_universal_adapter	1	raw_concat
48	0.29498612825993675	AP-DNA-10	illumina_universal_adapter	1	raw_concat
50	0.3571923342140705	AP-DNA-10	illumina_universal_adapter	1	raw_concat
52	0.4249883991401441	AP-DNA-10	illumina_universal_adapter	1	raw_concat
54	0.49874444365077975	AP-DNA-10	illumina_universal_adapter	1	raw_concat
56	0.5803958180521659	AP-DNA-10	illumina_universal_adapter	1	raw_concat
58	0.6730816294092996	AP-DNA-10	illumina_universal_adapter	1	raw_concat
60	0.7776337843327945	AP-DNA-10	illumina_universal_adapter	1	raw_concat
62	0.8865063191176463	AP-DNA-10	illumina_universal_adapter	1	raw_concat
64	1.0012904064910162	AP-DNA-10	illumina_universal_adapter	1	raw_concat
66	1.1256076939427686	AP-DNA-10	illumina_universal_adapter	1	raw_concat
68	1.2642109452275108	AP-DNA-10	illumina_universal_adapter	1	raw_concat
70	1.421683429613696	AP-DNA-10	illumina_universal_adapter	1	raw_concat
72	1.5832998812327923	AP-DNA-10	illumina_universal_adapter	1	raw_concat
74	1.7494252320907024	AP-DNA-10	illumina_universal_adapter	1	raw_concat
76	1.9255836188075925	AP-DNA-10	illumina_universal_adapter	1	raw_concat
78	2.119589083102282	AP-DNA-10	illumina_universal_adapter	1	raw_concat
80	2.3382196748853623	AP-DNA-10	illumina_universal_adapter	1	raw_concat
82	2.560724426351965	AP-DNA-10	illumina_universal_adapter	1	raw_concat
84	2.7806573584215153	AP-DNA-10	illumina_universal_adapter	1	raw_concat
86	3.0082798056486286	AP-DNA-10	illumina_universal_adapter	1	raw_concat
88	3.2510270414616373	AP-DNA-10	illumina_universal_adapter	1	raw_concat
90	3.5190099308203067	AP-DNA-10	illumina_universal_adapter	1	raw_concat
92	3.7968874931921155	AP-DNA-10	illumina_universal_adapter	1	raw_concat
94	4.070024398558328	AP-DNA-10	illumina_universal_adapter	1	raw_concat
96	4.34487181460624	AP-DNA-10	illumina_universal_adapter	1	raw_concat
98	4.631845004556462	AP-DNA-10	illumina_universal_adapter	1	raw_concat
100	4.936995613378926	AP-DNA-10	illumina_universal_adapter	1	raw_concat
102	5.24468690995813	AP-DNA-10	illumina_universal_adapter	1	raw_concat
104	5.54979428039127	AP-DNA-10	illumina_universal_adapter	1	raw_concat
106	5.851276544263399	AP-DNA-10	illumina_universal_adapter	1	raw_concat
108	6.154588656771763	AP-DNA-10	illumina_universal_adapter	1	raw_concat
