sample	percent_gc	mean_seq_len	n_read_pairs	percent_duplicates	n_bases_approx	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	stage
AP-DNA-1	48.5	150	71701736	3.3483807608612466	21400000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	pass/pass	pass/pass	pass/pass	fail/fail	raw_concat
AP-DNA-10	50	150	28909495	4.1653928167292165	8600000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	pass/pass	pass/pass	pass/pass	fail/fail	raw_concat
AP-DNA-11	49	150	20855008	2.4201003614185552	6200000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	pass/pass	pass/pass	warn/pass	fail/fail	raw_concat
AP-DNA-12	48	150	17557469	2.404206189048409	5200000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	pass/pass	pass/pass	warn/pass	fail/fail	raw_concat
AP-DNA-13	50	150	17834343	2.1375379400869505	5200000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	pass/pass	pass/pass	warn/pass	fail/fail	raw_concat
AP-DNA-14	53	150	14763157	3.8189289586577004	4400000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	pass/pass	pass/pass	pass/pass	warn/warn	raw_concat
AP-DNA-15	64.5	150	6917293	28.905785857244936	2000000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	pass/pass	pass/pass	pass/pass	pass/pass	raw_concat
AP-DNA-16	64	150	10555605	48.388451875207394	3000000000	pass/pass	pass/pass	warn/pass	fail/fail	pass/pass	pass/pass	warn/warn	warn/pass	pass/pass	raw_concat
AP-DNA-3	49	150	42301238	2.719240479804249	12600000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	pass/pass	pass/pass	pass/pass	fail/fail	raw_concat
AP-DNA-4	49	150	12243006	2.4948467902985243	3600000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	pass/pass	pass/pass	warn/pass	fail/fail	raw_concat
AP-DNA-5	48.5	150	17477117	2.4575609400239884	5200000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	pass/pass	pass/pass	pass/pass	fail/fail	raw_concat
AP-DNA-6	49	150	14559240	2.5321868785758994	4200000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	pass/pass	pass/pass	warn/pass	fail/fail	raw_concat
AP-DNA-7	49	150	13167389	2.694847185583974	3800000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	pass/pass	pass/pass	pass/pass	fail/fail	raw_concat
AP-DNA-8	49	150	12801273	2.5690422157404456	3800000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	pass/pass	pass/pass	warn/pass	fail/fail	raw_concat
AP-DNA-9	50.5	150	9921532	3.398982933844124	2800000000	pass/pass	pass/pass	pass/warn	fail/fail	pass/pass	pass/pass	pass/pass	warn/pass	warn/warn	raw_concat
AP-RNA-1	41	150	15901017	27.70365042335171	4600000000	pass/pass	pass/pass	warn/warn	fail/warn	pass/pass	pass/pass	pass/pass	warn/warn	pass/pass	raw_concat
AP-RNA-10	43.5	150	8549832	35.843004272465336	2400000000	pass/pass	pass/pass	warn/warn	fail/warn	pass/pass	pass/pass	warn/warn	fail/warn	pass/pass	raw_concat
AP-RNA-11	43	150	10276279	35.95701353472687	3000000000	pass/pass	pass/pass	warn/warn	fail/warn	pass/pass	pass/pass	warn/warn	fail/warn	pass/pass	raw_concat
AP-RNA-12	41.5	150	12040921	26.971324035925875	3600000000	pass/pass	pass/pass	warn/warn	warn/warn	pass/pass	pass/pass	pass/pass	warn/warn	pass/pass	raw_concat
AP-RNA-13	43	150	10737634	31.078386949373872	3200000000	pass/pass	pass/pass	warn/warn	fail/warn	pass/pass	pass/pass	warn/pass	fail/warn	pass/pass	raw_concat
AP-RNA-14	42.5	150	5031316	38.90487711156618	1509200000	pass/pass	pass/pass	warn/fail	fail/fail	pass/pass	pass/pass	warn/warn	fail/fail	warn/warn	raw_concat
AP-RNA-15	27.5	150	840626	70.65369711988252	252000000	fail/fail	pass/fail	fail/fail	fail/fail	pass/pass	pass/pass	fail/fail	fail/fail	fail/fail	raw_concat
AP-RNA-16	40.5	150	180868	33.2141751347864	54200000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	pass/pass	warn/pass	fail/fail	fail/fail	raw_concat
AP-RNA-2	42	150	20077151	26.09969892616919	6000000000	pass/pass	pass/pass	warn/warn	warn/warn	pass/pass	pass/pass	pass/pass	warn/warn	pass/pass	raw_concat
AP-RNA-3	41.5	150	10889673	20.706211917875798	3200000000	pass/pass	pass/pass	warn/warn	warn/warn	pass/pass	pass/pass	pass/pass	warn/warn	warn/warn	raw_concat
AP-RNA-4	45.5	150	18538005	43.73229511941241	5400000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	pass/pass	warn/warn	warn/warn	pass/pass	raw_concat
AP-RNA-5	45	150	12417548	41.572555994638655	3600000000	pass/pass	pass/pass	warn/warn	fail/warn	pass/pass	pass/pass	warn/warn	warn/warn	pass/pass	raw_concat
AP-RNA-6	43.5	150	9723001	36.513102690990806	2800000000	pass/pass	pass/pass	warn/warn	fail/warn	pass/pass	pass/pass	warn/warn	fail/warn	pass/pass	raw_concat
AP-RNA-7	43.5	150	8885778	34.167923499803585	2600000000	pass/pass	pass/pass	warn/warn	fail/pass	pass/pass	pass/pass	warn/warn	warn/warn	pass/pass	raw_concat
AP-RNA-8	43.5	150	8326735	34.05679836564866	2400000000	pass/pass	pass/pass	warn/warn	fail/warn	pass/pass	pass/pass	warn/warn	fail/warn	pass/pass	raw_concat
AP-RNA-9	45	150	7138313	40.908993195268344	2000000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	pass/pass	warn/warn	fail/warn	pass/pass	raw_concat
AP-DNA-1	48	115.89794112814643	67868867	3.361064276720029	15600000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	cleaned
AP-DNA-10	50	121.07133917470398	27188596	4.011254531557064	6500000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	cleaned
AP-DNA-11	48	117.56398014893335	19660606	2.3465066068557547	4500000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	cleaned
AP-DNA-12	47	116.28490823639078	16597974	2.298976764026385	3800000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	cleaned
AP-DNA-13	49	116.69270697596451	16798738	1.9841297970202803	3900000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	cleaned
AP-DNA-14	52.5	121.25052304811385	13707152	4.059684270824214	3300000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	cleaned
AP-DNA-15	65	123.83372758672203	6439598	33.030584886512045	1594000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	warn/warn	pass/pass	pass/pass	cleaned
AP-DNA-16	64	124.91346584494548	9866607	49.825310646964	2400000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	fail/warn	pass/pass	pass/pass	cleaned
AP-DNA-3	49	112.61250506202757	40265486	2.6762080450024115	8900000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	cleaned
AP-DNA-4	49	121.3415298132957	11592395	2.3678165551432286	2700000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	cleaned
AP-DNA-5	48	119.66752160030832	16507519	2.36913369679273	3900000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	cleaned
AP-DNA-6	49	120.49875117575127	13746530	2.350873596501259	3200000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	cleaned
AP-DNA-7	48	120.49425519272953	12442541	2.547982313679043	2900000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	cleaned
AP-DNA-8	49	120.54323850926171	12072005	2.4298957332477045	2800000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	cleaned
AP-DNA-9	50	122.1996104853585	9274876	2.9495283952536795	2200000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	cleaned
AP-RNA-1	41	124.74861187327059	14439964	27.220038867476703	3500000000	pass/pass	pass/pass	warn/warn	warn/warn	pass/pass	warn/warn	pass/pass	warn/warn	pass/pass	cleaned
AP-RNA-10	44	124.70810430000164	7636625	35.732953234517616	1903400000	pass/pass	pass/pass	warn/fail	warn/pass	pass/pass	warn/warn	warn/warn	warn/warn	pass/pass	cleaned
AP-RNA-11	43.5	123.37162091337478	8996329	34.75434683184377	2100000000	pass/pass	pass/pass	warn/fail	fail/pass	pass/pass	warn/warn	warn/warn	warn/warn	pass/pass	cleaned
AP-RNA-12	41	125.48965750264456	11092582	26.9457142311647	2700000000	pass/pass	pass/pass	warn/warn	warn/warn	pass/pass	warn/warn	pass/pass	warn/warn	pass/pass	cleaned
AP-RNA-13	42.5	124.67974216072324	9751346	31.080257395744567	2400000000	pass/pass	pass/pass	warn/fail	fail/warn	pass/pass	warn/warn	warn/pass	warn/warn	pass/pass	cleaned
AP-RNA-14	44	125.88177333619552	4234527	35.99273639197411	1065300000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	warn/warn	warn/warn	pass/pass	cleaned
AP-RNA-15	45.5	123.1267342144535	140049	27.43595185073967	34400000	pass/pass	pass/pass	fail/pass	fail/fail	pass/pass	warn/warn	pass/pass	warn/warn	pass/pass	cleaned
AP-RNA-16	44	120.86469772896896	112548	18.175356292426343	27000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	warn/warn	pass/pass	cleaned
AP-RNA-2	41	124.41867974026385	18466124	26.08547275955908	4500000000	pass/pass	pass/pass	warn/warn	warn/warn	pass/pass	warn/warn	pass/pass	warn/warn	pass/pass	cleaned
AP-RNA-3	41	122.28234432656689	9941388	20.37648168375408	2300000000	pass/pass	pass/pass	warn/warn	warn/warn	pass/pass	warn/warn	pass/pass	warn/warn	pass/pass	cleaned
AP-RNA-4	45	124.69373647019538	16937606	44.681530986320396	4100000000	pass/pass	pass/pass	warn/fail	fail/fail	pass/pass	warn/warn	warn/warn	warn/warn	pass/pass	cleaned
AP-RNA-5	45	124.79647613552407	11358808	42.44403166559732	2700000000	pass/pass	pass/pass	warn/fail	fail/fail	pass/pass	warn/warn	warn/warn	warn/warn	pass/pass	cleaned
AP-RNA-6	43.5	124.45851267171793	8799241	37.04862092906086	2100000000	pass/pass	pass/pass	warn/fail	fail/pass	pass/pass	warn/warn	warn/warn	warn/warn	pass/pass	cleaned
AP-RNA-7	43	124.86055073213141	8103395	34.83637417570377	2000000000	pass/pass	pass/pass	warn/fail	warn/pass	pass/pass	warn/warn	warn/warn	warn/warn	pass/pass	cleaned
AP-RNA-8	43	125.04321175695264	7514124	34.64967283901326	1877800000	pass/pass	pass/pass	warn/fail	fail/warn	pass/pass	warn/warn	warn/warn	warn/warn	pass/pass	cleaned
AP-RNA-9	45	124.63219612556318	6340999	41.26718132866693	1579400000	pass/pass	pass/pass	warn/fail	warn/warn	pass/pass	warn/warn	warn/warn	warn/warn	pass/pass	cleaned
AP-DNA-1	48	116.18152663199118	66461741	1.6197568939833573	15300000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	dedup
