position	mean_phred_score	sample	read_pair	stage
1	30.67991153079637	AP-DNA-10	1	raw_concat
2	31.093260120939505	AP-DNA-10	1	raw_concat
3	31.22460662145776	AP-DNA-10	1	raw_concat
4	31.276113297724503	AP-DNA-10	1	raw_concat
5	31.310699719936306	AP-DNA-10	1	raw_concat
6	34.41432847581737	AP-DNA-10	1	raw_concat
7	34.33893148254579	AP-DNA-10	1	raw_concat
8	34.31527489497827	AP-DNA-10	1	raw_concat
9	34.31411406529239	AP-DNA-10	1	raw_concat
12	34.27629785992457	AP-DNA-10	1	raw_concat
17	34.228918810238646	AP-DNA-10	1	raw_concat
22	34.10076676192372	AP-DNA-10	1	raw_concat
27	33.87993704490515	AP-DNA-10	1	raw_concat
32	33.70575419598301	AP-DNA-10	1	raw_concat
37	33.520721527650345	AP-DNA-10	1	raw_concat
42	33.317595426692854	AP-DNA-10	1	raw_concat
47	33.11692954857911	AP-DNA-10	1	raw_concat
52	32.9226368015076	AP-DNA-10	1	raw_concat
57	32.68115824230067	AP-DNA-10	1	raw_concat
62	32.44500170618685	AP-DNA-10	1	raw_concat
67	32.14483219440534	AP-DNA-10	1	raw_concat
72	31.939937477289032	AP-DNA-10	1	raw_concat
77	31.676242120452123	AP-DNA-10	1	raw_concat
82	31.391638456500193	AP-DNA-10	1	raw_concat
87	31.198526629399787	AP-DNA-10	1	raw_concat
92	30.989470961011257	AP-DNA-10	1	raw_concat
97	30.8128435795921	AP-DNA-10	1	raw_concat
102	30.655455178307335	AP-DNA-10	1	raw_concat
107	30.394625904049867	AP-DNA-10	1	raw_concat
112	30.2465287546531	AP-DNA-10	1	raw_concat
117	29.993117209415107	AP-DNA-10	1	raw_concat
122	29.86648070469581	AP-DNA-10	1	raw_concat
127	29.664262298597748	AP-DNA-10	1	raw_concat
132	29.38327207721892	AP-DNA-10	1	raw_concat
137	29.144894104860704	AP-DNA-10	1	raw_concat
142	28.811736254818697	AP-DNA-10	1	raw_concat
147	28.410232645018528	AP-DNA-10	1	raw_concat
150	28.152909934953897	AP-DNA-10	1	raw_concat
1	30.783015649356724	AP-DNA-10	2	raw_concat
2	30.55965394760441	AP-DNA-10	2	raw_concat
3	30.62348643585784	AP-DNA-10	2	raw_concat
4	30.63938207844862	AP-DNA-10	2	raw_concat
5	30.62278209979109	AP-DNA-10	2	raw_concat
6	33.94447685786279	AP-DNA-10	2	raw_concat
7	33.85945672866302	AP-DNA-10	2	raw_concat
8	33.778148528710034	AP-DNA-10	2	raw_concat
9	33.7577547445917	AP-DNA-10	2	raw_concat
12	33.649469096571906	AP-DNA-10	2	raw_concat
17	33.47790536638568	AP-DNA-10	2	raw_concat
22	33.33565750629681	AP-DNA-10	2	raw_concat
27	33.17929836546782	AP-DNA-10	2	raw_concat
32	33.00015674434991	AP-DNA-10	2	raw_concat
37	32.81011044987123	AP-DNA-10	2	raw_concat
42	32.60474560347733	AP-DNA-10	2	raw_concat
47	32.423656103297546	AP-DNA-10	2	raw_concat
52	32.11895069076786	AP-DNA-10	2	raw_concat
57	31.837172160911148	AP-DNA-10	2	raw_concat
62	31.50259708099363	AP-DNA-10	2	raw_concat
67	31.284054515653075	AP-DNA-10	2	raw_concat
72	31.067315081083223	AP-DNA-10	2	raw_concat
77	30.859986796725433	AP-DNA-10	2	raw_concat
82	30.58674439660741	AP-DNA-10	2	raw_concat
87	30.35515052061615	AP-DNA-10	2	raw_concat
92	30.170231060763946	AP-DNA-10	2	raw_concat
97	29.91928912628878	AP-DNA-10	2	raw_concat
102	29.667717066659243	AP-DNA-10	2	raw_concat
107	29.309231904604353	AP-DNA-10	2	raw_concat
112	28.971626505409382	AP-DNA-10	2	raw_concat
117	28.470647826950973	AP-DNA-10	2	raw_concat
122	28.066913316887756	AP-DNA-10	2	raw_concat
127	27.539437164156617	AP-DNA-10	2	raw_concat
132	27.021694325687804	AP-DNA-10	2	raw_concat
137	26.598323263688968	AP-DNA-10	2	raw_concat
142	26.164965904800482	AP-DNA-10	2	raw_concat
147	25.779836444739004	AP-DNA-10	2	raw_concat
150	25.725546260839216	AP-DNA-10	2	raw_concat
1	30.64172125946919	AP-DNA-11	1	raw_concat
2	31.09393494358765	AP-DNA-11	1	raw_concat
3	31.23721558869697	AP-DNA-11	1	raw_concat
4	31.29034201281534	AP-DNA-11	1	raw_concat
5	31.32486983462198	AP-DNA-11	1	raw_concat
6	34.43836291024199	AP-DNA-11	1	raw_concat
7	34.36637593234201	AP-DNA-11	1	raw_concat
8	34.349049062939706	AP-DNA-11	1	raw_concat
9	34.345068771970745	AP-DNA-11	1	raw_concat
12	34.309901995722086	AP-DNA-11	1	raw_concat
17	34.26360246900888	AP-DNA-11	1	raw_concat
22	34.13658551461596	AP-DNA-11	1	raw_concat
27	33.92132798990056	AP-DNA-11	1	raw_concat
32	33.74831694142721	AP-DNA-11	1	raw_concat
37	33.56492373438552	AP-DNA-11	1	raw_concat
42	33.349249532774095	AP-DNA-11	1	raw_concat
47	33.14333949907859	AP-DNA-11	1	raw_concat
52	32.95570654300396	AP-DNA-11	1	raw_concat
57	32.71269859977997	AP-DNA-11	1	raw_concat
62	32.48149922550977	AP-DNA-11	1	raw_concat
67	32.19605165339664	AP-DNA-11	1	raw_concat
72	31.996499334836027	AP-DNA-11	1	raw_concat
77	31.717084107567832	AP-DNA-11	1	raw_concat
82	31.443848825183856	AP-DNA-11	1	raw_concat
87	31.23990933976146	AP-DNA-11	1	raw_concat
92	31.014989310960704	AP-DNA-11	1	raw_concat
97	30.817686926804345	AP-DNA-11	1	raw_concat
102	30.633363688951835	AP-DNA-11	1	raw_concat
107	30.34579811237665	AP-DNA-11	1	raw_concat
112	30.164757328311747	AP-DNA-11	1	raw_concat
117	29.87964804424913	AP-DNA-11	1	raw_concat
122	29.713888855856588	AP-DNA-11	1	raw_concat
127	29.481028767766475	AP-DNA-11	1	raw_concat
132	29.16728689818772	AP-DNA-11	1	raw_concat
137	28.899205936530926	AP-DNA-11	1	raw_concat
142	28.544649275608048	AP-DNA-11	1	raw_concat
147	28.130280180185018	AP-DNA-11	1	raw_concat
150	27.87068909299867	AP-DNA-11	1	raw_concat
1	30.82309016616057	AP-DNA-11	2	raw_concat
2	30.60661798835081	AP-DNA-11	2	raw_concat
3	30.66430288590635	AP-DNA-11	2	raw_concat
4	30.67497960202173	AP-DNA-11	2	raw_concat
5	30.66012940393022	AP-DNA-11	2	raw_concat
6	33.99852745201536	AP-DNA-11	2	raw_concat
7	33.90564405441609	AP-DNA-11	2	raw_concat
8	33.82217916195477	AP-DNA-11	2	raw_concat
9	33.7983522231207	AP-DNA-11	2	raw_concat
12	33.69073817665282	AP-DNA-11	2	raw_concat
17	33.517295721008594	AP-DNA-11	2	raw_concat
22	33.37545437527523	AP-DNA-11	2	raw_concat
27	33.21472345635159	AP-DNA-11	2	raw_concat
32	33.038524166473586	AP-DNA-11	2	raw_concat
37	32.85099883922366	AP-DNA-11	2	raw_concat
42	32.64561900911282	AP-DNA-11	2	raw_concat
47	32.4643250484488	AP-DNA-11	2	raw_concat
52	32.16102422976773	AP-DNA-11	2	raw_concat
57	31.881273658585986	AP-DNA-11	2	raw_concat
62	31.547208306033735	AP-DNA-11	2	raw_concat
67	31.32602819428312	AP-DNA-11	2	raw_concat
72	31.105487372625316	AP-DNA-11	2	raw_concat
77	30.898785414035803	AP-DNA-11	2	raw_concat
82	30.610741065167662	AP-DNA-11	2	raw_concat
87	30.37025705288629	AP-DNA-11	2	raw_concat
92	30.17772418979653	AP-DNA-11	2	raw_concat
97	29.923535613124677	AP-DNA-11	2	raw_concat
102	29.657316794124462	AP-DNA-11	2	raw_concat
107	29.283168196339222	AP-DNA-11	2	raw_concat
112	28.92863572145357	AP-DNA-11	2	raw_concat
117	28.408703501815967	AP-DNA-11	2	raw_concat
122	27.981998846512067	AP-DNA-11	2	raw_concat
127	27.43762840081385	AP-DNA-11	2	raw_concat
132	26.90304254977989	AP-DNA-11	2	raw_concat
137	26.466394278055418	AP-DNA-11	2	raw_concat
142	26.02311975138058	AP-DNA-11	2	raw_concat
147	25.636492664016238	AP-DNA-11	2	raw_concat
150	25.57522495316233	AP-DNA-11	2	raw_concat
1	30.71293294039135	AP-DNA-12	1	raw_concat
2	31.164242693522624	AP-DNA-12	1	raw_concat
3	31.301998482810934	AP-DNA-12	1	raw_concat
4	31.356880880723754	AP-DNA-12	1	raw_concat
5	31.389779586112326	AP-DNA-12	1	raw_concat
6	34.55202683256909	AP-DNA-12	1	raw_concat
7	34.484063050317786	AP-DNA-12	1	raw_concat
8	34.46970995648633	AP-DNA-12	1	raw_concat
9	34.46703195090363	AP-DNA-12	1	raw_concat
12	34.43482089588197	AP-DNA-12	1	raw_concat
17	34.39132512778465	AP-DNA-12	1	raw_concat
22	34.27105376065309	AP-DNA-12	1	raw_concat
27	34.0672134918763	AP-DNA-12	1	raw_concat
32	33.901121226527586	AP-DNA-12	1	raw_concat
37	33.728537148492194	AP-DNA-12	1	raw_concat
42	33.53183167801692	AP-DNA-12	1	raw_concat
47	33.36447662245623	AP-DNA-12	1	raw_concat
52	33.17819594612412	AP-DNA-12	1	raw_concat
57	32.95808638477448	AP-DNA-12	1	raw_concat
62	32.73174667715489	AP-DNA-12	1	raw_concat
67	32.44045883834396	AP-DNA-12	1	raw_concat
72	32.232832192384905	AP-DNA-12	1	raw_concat
77	31.978859754785844	AP-DNA-12	1	raw_concat
82	31.71394961312476	AP-DNA-12	1	raw_concat
87	31.524670042134197	AP-DNA-12	1	raw_concat
92	31.32530881301855	AP-DNA-12	1	raw_concat
97	31.158766995402356	AP-DNA-12	1	raw_concat
102	31.007550290990118	AP-DNA-12	1	raw_concat
107	30.759981783251334	AP-DNA-12	1	raw_concat
112	30.61281102646401	AP-DNA-12	1	raw_concat
117	30.373829109423458	AP-DNA-12	1	raw_concat
122	30.242676310577565	AP-DNA-12	1	raw_concat
127	30.058986611339026	AP-DNA-12	1	raw_concat
132	29.791550251348873	AP-DNA-12	1	raw_concat
137	29.570097580693435	AP-DNA-12	1	raw_concat
142	29.265414815768718	AP-DNA-12	1	raw_concat
147	28.89596380890663	AP-DNA-12	1	raw_concat
150	28.660786073436896	AP-DNA-12	1	raw_concat
1	30.92047538286982	AP-DNA-12	2	raw_concat
2	30.7281182156722	AP-DNA-12	2	raw_concat
3	30.780391239762405	AP-DNA-12	2	raw_concat
4	30.792221931304564	AP-DNA-12	2	raw_concat
5	30.777788358902985	AP-DNA-12	2	raw_concat
6	34.16494860392463	AP-DNA-12	2	raw_concat
7	34.085292646679314	AP-DNA-12	2	raw_concat
8	34.011931788118204	AP-DNA-12	2	raw_concat
9	33.985049496598855	AP-DNA-12	2	raw_concat
12	33.891923067043436	AP-DNA-12	2	raw_concat
17	33.72790481361522	AP-DNA-12	2	raw_concat
22	33.59532368816941	AP-DNA-12	2	raw_concat
27	33.44763339180607	AP-DNA-12	2	raw_concat
32	33.28046869397862	AP-DNA-12	2	raw_concat
37	33.10470341710414	AP-DNA-12	2	raw_concat
42	32.91014526068649	AP-DNA-12	2	raw_concat
47	32.73426794032785	AP-DNA-12	2	raw_concat
52	32.442416113620936	AP-DNA-12	2	raw_concat
57	32.17408274506992	AP-DNA-12	2	raw_concat
62	31.85156139532412	AP-DNA-12	2	raw_concat
67	31.6390504007155	AP-DNA-12	2	raw_concat
72	31.42478750211662	AP-DNA-12	2	raw_concat
77	31.220071924945444	AP-DNA-12	2	raw_concat
82	30.93435779382552	AP-DNA-12	2	raw_concat
87	30.693637983925818	AP-DNA-12	2	raw_concat
92	30.48990427948356	AP-DNA-12	2	raw_concat
97	30.226367991878554	AP-DNA-12	2	raw_concat
102	29.95497110659856	AP-DNA-12	2	raw_concat
107	29.576365283629436	AP-DNA-12	2	raw_concat
112	29.213202347103675	AP-DNA-12	2	raw_concat
117	28.683574893397218	AP-DNA-12	2	raw_concat
122	28.24665549459321	AP-DNA-12	2	raw_concat
127	27.69207275832297	AP-DNA-12	2	raw_concat
132	27.149958550403817	AP-DNA-12	2	raw_concat
137	26.703894485019454	AP-DNA-12	2	raw_concat
142	26.253147523711988	AP-DNA-12	2	raw_concat
147	25.865666139008987	AP-DNA-12	2	raw_concat
150	25.797496096960217	AP-DNA-12	2	raw_concat
1	30.72120369110317	AP-DNA-13	1	raw_concat
2	31.16962161151661	AP-DNA-13	1	raw_concat
3	31.30379431414995	AP-DNA-13	1	raw_concat
4	31.356671563398773	AP-DNA-13	1	raw_concat
5	31.39039329904107	AP-DNA-13	1	raw_concat
6	34.56320796342203	AP-DNA-13	1	raw_concat
7	34.49455575683388	AP-DNA-13	1	raw_concat
8	34.47380932395435	AP-DNA-13	1	raw_concat
