mean_phred_score	n_sequences	sample	read_pair	stage
15	1	AP-DNA-10	1	raw_concat
16	32	AP-DNA-10	1	raw_concat
17	593	AP-DNA-10	1	raw_concat
18	3793	AP-DNA-10	1	raw_concat
19	13935	AP-DNA-10	1	raw_concat
20	33703	AP-DNA-10	1	raw_concat
21	66556	AP-DNA-10	1	raw_concat
22	114200	AP-DNA-10	1	raw_concat
23	185495	AP-DNA-10	1	raw_concat
24	302895	AP-DNA-10	1	raw_concat
25	483880	AP-DNA-10	1	raw_concat
26	746940	AP-DNA-10	1	raw_concat
27	1095597	AP-DNA-10	1	raw_concat
28	1538027	AP-DNA-10	1	raw_concat
29	2093689	AP-DNA-10	1	raw_concat
30	2815479	AP-DNA-10	1	raw_concat
31	3756632	AP-DNA-10	1	raw_concat
32	4841051	AP-DNA-10	1	raw_concat
33	5549982	AP-DNA-10	1	raw_concat
34	4377188	AP-DNA-10	1	raw_concat
35	889827	AP-DNA-10	1	raw_concat
3	1	AP-DNA-10	2	raw_concat
4	22	AP-DNA-10	2	raw_concat
5	94	AP-DNA-10	2	raw_concat
6	167	AP-DNA-10	2	raw_concat
7	212	AP-DNA-10	2	raw_concat
8	218	AP-DNA-10	2	raw_concat
9	292	AP-DNA-10	2	raw_concat
10	292	AP-DNA-10	2	raw_concat
11	284	AP-DNA-10	2	raw_concat
12	283	AP-DNA-10	2	raw_concat
13	308	AP-DNA-10	2	raw_concat
14	1689	AP-DNA-10	2	raw_concat
15	9790	AP-DNA-10	2	raw_concat
16	18168	AP-DNA-10	2	raw_concat
17	25067	AP-DNA-10	2	raw_concat
18	35961	AP-DNA-10	2	raw_concat
19	59100	AP-DNA-10	2	raw_concat
20	104114	AP-DNA-10	2	raw_concat
21	178646	AP-DNA-10	2	raw_concat
22	289283	AP-DNA-10	2	raw_concat
23	441823	AP-DNA-10	2	raw_concat
24	635247	AP-DNA-10	2	raw_concat
25	882514	AP-DNA-10	2	raw_concat
26	1198912	AP-DNA-10	2	raw_concat
27	1588117	AP-DNA-10	2	raw_concat
28	2077530	AP-DNA-10	2	raw_concat
29	2691599	AP-DNA-10	2	raw_concat
30	3445103	AP-DNA-10	2	raw_concat
31	4268910	AP-DNA-10	2	raw_concat
32	4829034	AP-DNA-10	2	raw_concat
33	4227183	AP-DNA-10	2	raw_concat
34	1795024	AP-DNA-10	2	raw_concat
35	104508	AP-DNA-10	2	raw_concat
16	36	AP-DNA-11	1	raw_concat
17	565	AP-DNA-11	1	raw_concat
18	3772	AP-DNA-11	1	raw_concat
19	12460	AP-DNA-11	1	raw_concat
20	27805	AP-DNA-11	1	raw_concat
21	50876	AP-DNA-11	1	raw_concat
22	85189	AP-DNA-11	1	raw_concat
23	137190	AP-DNA-11	1	raw_concat
24	222637	AP-DNA-11	1	raw_concat
25	356137	AP-DNA-11	1	raw_concat
26	548422	AP-DNA-11	1	raw_concat
27	802722	AP-DNA-11	1	raw_concat
28	1121492	AP-DNA-11	1	raw_concat
29	1523662	AP-DNA-11	1	raw_concat
30	2050442	AP-DNA-11	1	raw_concat
31	2752703	AP-DNA-11	1	raw_concat
32	3500387	AP-DNA-11	1	raw_concat
33	3884556	AP-DNA-11	1	raw_concat
34	3090766	AP-DNA-11	1	raw_concat
35	683189	AP-DNA-11	1	raw_concat
4	25	AP-DNA-11	2	raw_concat
5	101	AP-DNA-11	2	raw_concat
6	103	AP-DNA-11	2	raw_concat
7	136	AP-DNA-11	2	raw_concat
8	172	AP-DNA-11	2	raw_concat
9	205	AP-DNA-11	2	raw_concat
10	205	AP-DNA-11	2	raw_concat
11	202	AP-DNA-11	2	raw_concat
12	200	AP-DNA-11	2	raw_concat
13	196	AP-DNA-11	2	raw_concat
14	1806	AP-DNA-11	2	raw_concat
15	10676	AP-DNA-11	2	raw_concat
16	17849	AP-DNA-11	2	raw_concat
17	22792	AP-DNA-11	2	raw_concat
18	31460	AP-DNA-11	2	raw_concat
19	48531	AP-DNA-11	2	raw_concat
20	80375	AP-DNA-11	2	raw_concat
21	134595	AP-DNA-11	2	raw_concat
22	214580	AP-DNA-11	2	raw_concat
23	324875	AP-DNA-11	2	raw_concat
24	458065	AP-DNA-11	2	raw_concat
25	632189	AP-DNA-11	2	raw_concat
26	858633	AP-DNA-11	2	raw_concat
27	1138144	AP-DNA-11	2	raw_concat
28	1487875	AP-DNA-11	2	raw_concat
29	1927157	AP-DNA-11	2	raw_concat
30	2461184	AP-DNA-11	2	raw_concat
31	3043813	AP-DNA-11	2	raw_concat
32	3442781	AP-DNA-11	2	raw_concat
33	3061859	AP-DNA-11	2	raw_concat
34	1368892	AP-DNA-11	2	raw_concat
35	85332	AP-DNA-11	2	raw_concat
15	1	AP-DNA-12	1	raw_concat
16	35	AP-DNA-12	1	raw_concat
17	596	AP-DNA-12	1	raw_concat
18	3569	AP-DNA-12	1	raw_concat
19	11345	AP-DNA-12	1	raw_concat
20	24557	AP-DNA-12	1	raw_concat
21	44178	AP-DNA-12	1	raw_concat
22	72273	AP-DNA-12	1	raw_concat
23	113598	AP-DNA-12	1	raw_concat
24	177681	AP-DNA-12	1	raw_concat
25	276436	AP-DNA-12	1	raw_concat
26	414388	AP-DNA-12	1	raw_concat
27	594659	AP-DNA-12	1	raw_concat
28	821070	AP-DNA-12	1	raw_concat
29	1104617	AP-DNA-12	1	raw_concat
30	1470725	AP-DNA-12	1	raw_concat
31	1966019	AP-DNA-12	1	raw_concat
32	2634584	AP-DNA-12	1	raw_concat
33	3411858	AP-DNA-12	1	raw_concat
34	3464827	AP-DNA-12	1	raw_concat
35	950453	AP-DNA-12	1	raw_concat
4	20	AP-DNA-12	2	raw_concat
5	57	AP-DNA-12	2	raw_concat
6	120	AP-DNA-12	2	raw_concat
7	107	AP-DNA-12	2	raw_concat
8	137	AP-DNA-12	2	raw_concat
9	169	AP-DNA-12	2	raw_concat
10	171	AP-DNA-12	2	raw_concat
11	189	AP-DNA-12	2	raw_concat
12	173	AP-DNA-12	2	raw_concat
13	147	AP-DNA-12	2	raw_concat
14	2164	AP-DNA-12	2	raw_concat
15	12861	AP-DNA-12	2	raw_concat
16	20491	AP-DNA-12	2	raw_concat
17	24196	AP-DNA-12	2	raw_concat
18	30934	AP-DNA-12	2	raw_concat
19	45360	AP-DNA-12	2	raw_concat
20	71343	AP-DNA-12	2	raw_concat
21	114428	AP-DNA-12	2	raw_concat
22	177043	AP-DNA-12	2	raw_concat
23	260716	AP-DNA-12	2	raw_concat
24	357483	AP-DNA-12	2	raw_concat
25	484910	AP-DNA-12	2	raw_concat
26	643766	AP-DNA-12	2	raw_concat
27	845011	AP-DNA-12	2	raw_concat
28	1098318	AP-DNA-12	2	raw_concat
29	1428794	AP-DNA-12	2	raw_concat
30	1864220	AP-DNA-12	2	raw_concat
31	2409183	AP-DNA-12	2	raw_concat
32	2941432	AP-DNA-12	2	raw_concat
33	2959157	AP-DNA-12	2	raw_concat
34	1628528	AP-DNA-12	2	raw_concat
35	135841	AP-DNA-12	2	raw_concat
16	30	AP-DNA-13	1	raw_concat
17	482	AP-DNA-13	1	raw_concat
18	2938	AP-DNA-13	1	raw_concat
19	9812	AP-DNA-13	1	raw_concat
20	21711	AP-DNA-13	1	raw_concat
21	38981	AP-DNA-13	1	raw_concat
22	63862	AP-DNA-13	1	raw_concat
23	102473	AP-DNA-13	1	raw_concat
24	166568	AP-DNA-13	1	raw_concat
25	265128	AP-DNA-13	1	raw_concat
26	406754	AP-DNA-13	1	raw_concat
27	594193	AP-DNA-13	1	raw_concat
28	833255	AP-DNA-13	1	raw_concat
29	1131626	AP-DNA-13	1	raw_concat
30	1520061	AP-DNA-13	1	raw_concat
31	2048124	AP-DNA-13	1	raw_concat
32	2753471	AP-DNA-13	1	raw_concat
33	3536228	AP-DNA-13	1	raw_concat
34	3448687	AP-DNA-13	1	raw_concat
35	889959	AP-DNA-13	1	raw_concat
4	17	AP-DNA-13	2	raw_concat
5	71	AP-DNA-13	2	raw_concat
6	117	AP-DNA-13	2	raw_concat
7	126	AP-DNA-13	2	raw_concat
8	168	AP-DNA-13	2	raw_concat
9	180	AP-DNA-13	2	raw_concat
10	180	AP-DNA-13	2	raw_concat
11	191	AP-DNA-13	2	raw_concat
12	179	AP-DNA-13	2	raw_concat
13	146	AP-DNA-13	2	raw_concat
14	1573	AP-DNA-13	2	raw_concat
15	9677	AP-DNA-13	2	raw_concat
16	15715	AP-DNA-13	2	raw_concat
17	18645	AP-DNA-13	2	raw_concat
18	25117	AP-DNA-13	2	raw_concat
19	39443	AP-DNA-13	2	raw_concat
20	66960	AP-DNA-13	2	raw_concat
21	113352	AP-DNA-13	2	raw_concat
22	184626	AP-DNA-13	2	raw_concat
23	286824	AP-DNA-13	2	raw_concat
24	416403	AP-DNA-13	2	raw_concat
25	586213	AP-DNA-13	2	raw_concat
26	804827	AP-DNA-13	2	raw_concat
27	1078054	AP-DNA-13	2	raw_concat
28	1408336	AP-DNA-13	2	raw_concat
29	1796925	AP-DNA-13	2	raw_concat
30	2226240	AP-DNA-13	2	raw_concat
31	2633799	AP-DNA-13	2	raw_concat
32	2801279	AP-DNA-13	2	raw_concat
33	2300846	AP-DNA-13	2	raw_concat
34	957879	AP-DNA-13	2	raw_concat
35	60235	AP-DNA-13	2	raw_concat
16	24	AP-DNA-14	1	raw_concat
17	320	AP-DNA-14	1	raw_concat
18	1691	AP-DNA-14	1	raw_concat
19	5018	AP-DNA-14	1	raw_concat
20	10709	AP-DNA-14	1	raw_concat
21	20374	AP-DNA-14	1	raw_concat
22	35988	AP-DNA-14	1	raw_concat
23	65415	AP-DNA-14	1	raw_concat
24	118476	AP-DNA-14	1	raw_concat
25	207173	AP-DNA-14	1	raw_concat
26	338333	AP-DNA-14	1	raw_concat
27	516667	AP-DNA-14	1	raw_concat
28	749824	AP-DNA-14	1	raw_concat
29	1054194	AP-DNA-14	1	raw_concat
30	1470530	AP-DNA-14	1	raw_concat
31	1964635	AP-DNA-14	1	raw_concat
32	2471312	AP-DNA-14	1	raw_concat
33	2896700	AP-DNA-14	1	raw_concat
34	2351392	AP-DNA-14	1	raw_concat
35	484382	AP-DNA-14	1	raw_concat
3	1	AP-DNA-14	2	raw_concat
4	21	AP-DNA-14	2	raw_concat
5	59	AP-DNA-14	2	raw_concat
6	96	AP-DNA-14	2	raw_concat
7	113	AP-DNA-14	2	raw_concat
8	125	AP-DNA-14	2	raw_concat
9	153	AP-DNA-14	2	raw_concat
10	168	AP-DNA-14	2	raw_concat
11	147	AP-DNA-14	2	raw_concat
12	157	AP-DNA-14	2	raw_concat
13	123	AP-DNA-14	2	raw_concat
14	577	AP-DNA-14	2	raw_concat
15	4057	AP-DNA-14	2	raw_concat
16	7805	AP-DNA-14	2	raw_concat
17	10711	AP-DNA-14	2	raw_concat
18	15482	AP-DNA-14	2	raw_concat
19	25644	AP-DNA-14	2	raw_concat
20	47024	AP-DNA-14	2	raw_concat
21	87828	AP-DNA-14	2	raw_concat
22	156138	AP-DNA-14	2	raw_concat
23	261612	AP-DNA-14	2	raw_concat
24	409052	AP-DNA-14	2	raw_concat
25	595184	AP-DNA-14	2	raw_concat
26	825442	AP-DNA-14	2	raw_concat
27	1095499	AP-DNA-14	2	raw_concat
28	1402168	AP-DNA-14	2	raw_concat
29	1734852	AP-DNA-14	2	raw_concat
30	2044167	AP-DNA-14	2	raw_concat
31	2215760	AP-DNA-14	2	raw_concat
32	2042097	AP-DNA-14	2	raw_concat
33	1347116	AP-DNA-14	2	raw_concat
34	414845	AP-DNA-14	2	raw_concat
35	18934	AP-DNA-14	2	raw_concat
16	6	AP-DNA-15	1	raw_concat
17	71	AP-DNA-15	1	raw_concat
18	439	AP-DNA-15	1	raw_concat
19	1282	AP-DNA-15	1	raw_concat
20	2990	AP-DNA-15	1	raw_concat
21	6149	AP-DNA-15	1	raw_concat
22	12564	AP-DNA-15	1	raw_concat
23	24410	AP-DNA-15	1	raw_concat
24	45730	AP-DNA-15	1	raw_concat
25	81077	AP-DNA-15	1	raw_concat
26	132868	AP-DNA-15	1	raw_concat
27	205393	AP-DNA-15	1	raw_concat
28	303495	AP-DNA-15	1	raw_concat
29	433203	AP-DNA-15	1	raw_concat
30	612904	AP-DNA-15	1	raw_concat
31	869591	AP-DNA-15	1	raw_concat
