library,sample
SRR24991051,SRR24991051
SRR24991062,SRR24991062
SRR24991071,SRR24991071
SRR24991073,SRR24991073
SRR24991082,SRR24991082
SRR24991093,SRR24991093
SRR24991104,SRR24991104
SRR24991114,SRR24991114
SRR24991115,SRR24991115
SRR24991116,SRR24991116
SRR24991117,SRR24991117
SRR24991118,SRR24991118
SRR24991119,SRR24991119
SRR24991120,SRR24991120
SRR24991121,SRR24991121
SRR24991122,SRR24991122
SRR24991123,SRR24991123
SRR24991124,SRR24991124
SRR24991125,SRR24991125
SRR24991126,SRR24991126
SRR24991127,SRR24991127
