Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR24991047,WGS,227,1303511492,PRJNA983534,SAMN35729030,Metagenome or environmental,446193732,KU LEUVEN,2017-01/2018-12,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX20747178,Iran,Asia,Iran: Bushehr,Homo sapiens,NextSeq 500,blood,28.98 N 50.81 E,ZN-30,PAIRED,RANDOM PCR,METAGENOMIC,blood metagenome,ILLUMINA,2023-12-31T00:00:00Z,2023-06-22T11:40:00Z,1,Multiple_BT,SRP445320
SRR24991048,WGS,226,1146049446,PRJNA983534,SAMN35729030,Metagenome or environmental,404955084,KU LEUVEN,2017-01/2018-12,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX20747177,Iran,Asia,Iran: Bushehr,Homo sapiens,NextSeq 500,blood,28.98 N 50.81 E,ZN-29,PAIRED,RANDOM PCR,METAGENOMIC,blood metagenome,ILLUMINA,2023-12-31T00:00:00Z,2023-06-22T11:40:00Z,1,Multiple_BT,SRP445320
SRR24991049,WGS,230,1273853628,PRJNA983534,SAMN35729030,Metagenome or environmental,448244913,KU LEUVEN,2017-01/2018-12,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX20747176,Iran,Asia,Iran: Bushehr,Homo sapiens,NextSeq 500,blood,28.98 N 50.81 E,ZN-28,PAIRED,RANDOM PCR,METAGENOMIC,blood metagenome,ILLUMINA,2023-12-31T00:00:00Z,2023-06-22T11:40:00Z,1,Multiple_BT,SRP445320
SRR24991050,WGS,223,1141699395,PRJNA983534,SAMN35729030,Metagenome or environmental,387372575,KU LEUVEN,2017-01/2018-12,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX20747175,Iran,Asia,Iran: Bushehr,Homo sapiens,NextSeq 500,blood,28.98 N 50.81 E,ZN-27,PAIRED,RANDOM PCR,METAGENOMIC,blood metagenome,ILLUMINA,2023-12-31T00:00:00Z,2023-06-22T11:40:00Z,1,Multiple_BT,SRP445320
SRR24991051,WGS,302,2479543820,PRJNA983534,SAMN35729030,Metagenome or environmental,759090206,KU LEUVEN,2017-01/2018-12,public,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX20747174,Iran,Asia,Iran: Bushehr,Homo sapiens,NextSeq 500,blood,28.98 N 50.81 E,PCL16,PAIRED,RANDOM PCR,METAGENOMIC,blood metagenome,ILLUMINA,2023-12-31T00:00:00Z,2023-06-22T11:41:00Z,1,Multiple_BT,SRP445320
SRR24991052,WGS,227,1012561878,PRJNA983534,SAMN35729030,Metagenome or environmental,383664325,KU LEUVEN,2017-01/2018-12,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX20747173,Iran,Asia,Iran: Bushehr,Homo sapiens,NextSeq 500,blood,28.98 N 50.81 E,ZN-26,PAIRED,RANDOM PCR,METAGENOMIC,blood metagenome,ILLUMINA,2023-12-31T00:00:00Z,2023-06-22T11:40:00Z,1,Multiple_BT,SRP445320
SRR24991053,WGS,227,918396663,PRJNA983534,SAMN35729030,Metagenome or environmental,330054463,KU LEUVEN,2017-01/2018-12,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX20747172,Iran,Asia,Iran: Bushehr,Homo sapiens,NextSeq 500,blood,28.98 N 50.81 E,ZN-25,PAIRED,RANDOM PCR,METAGENOMIC,blood metagenome,ILLUMINA,2023-12-31T00:00:00Z,2023-06-22T11:40:00Z,1,Multiple_BT,SRP445320
SRR24991054,WGS,219,1205050281,PRJNA983534,SAMN35729030,Metagenome or environmental,464437890,KU LEUVEN,2017-01/2018-12,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX20747171,Iran,Asia,Iran: Bushehr,Homo sapiens,NextSeq 500,blood,28.98 N 50.81 E,ZN-24,PAIRED,RANDOM PCR,METAGENOMIC,blood metagenome,ILLUMINA,2023-12-31T00:00:00Z,2023-06-22T11:40:00Z,1,Multiple_BT,SRP445320
SRR24991055,WGS,230,1197779644,PRJNA983534,SAMN35729030,Metagenome or environmental,428682929,KU LEUVEN,2017-01/2018-12,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX20747170,Iran,Asia,Iran: Bushehr,Homo sapiens,NextSeq 500,blood,28.98 N 50.81 E,ZN-23,PAIRED,RANDOM PCR,METAGENOMIC,blood metagenome,ILLUMINA,2023-12-31T00:00:00Z,2023-06-22T11:40:00Z,1,Multiple_BT,SRP445320
SRR24991056,WGS,242,1678001889,PRJNA983534,SAMN35729030,Metagenome or environmental,614487335,KU LEUVEN,2017-01/2018-12,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX20747169,Iran,Asia,Iran: Bushehr,Homo sapiens,NextSeq 500,blood,28.98 N 50.81 E,ZN-22,PAIRED,RANDOM PCR,METAGENOMIC,blood metagenome,ILLUMINA,2023-12-31T00:00:00Z,2023-06-22T11:40:00Z,1,Multiple_BT,SRP445320
